ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment,Shell,ConceptInSource
Chak-16_you-1,,Chak,16_you,mia,mia,m i a,object form,Valenzuela2023,47,,,,m i ( - - a - - ),72,You
ProPaTa-17_come-1,,ProPaTa,17_come,bɨ-,bɨ-,b ɨ,None,Valenzuela2023,10,,,,b ɨ,24,Come
ProPa-17_come-1,,ProPa,17_come,βɨ-,βɨ-,β ɨ,"'come,bring'",Valenzuela2023,10,,,,β ɨ,24,Come
Ksh-17_come-1,,Ksh,17_come,βɨ-,βɨ-,β ɨ,None,Valenzuela2023,10,,,,β ɨ,24,Come
SK-17_come-1,,SK,17_come,βɨ-,βɨ-,β ɨ,None,Valenzuela2023,10,,,,β ɨ,24,Come
Kap-17_come-1,,Kap,17_come,βɨ-,βɨ-,β ɨ,None,Valenzuela2023,10,,,,β ɨ,24,Come
Chak-17_come-1,,Chak,17_come,βɨ-,βɨ-,β ɨ,None,Valenzuela2023,10,,,,β ɨ,24,Come
Kax-17_come-1,,Kax,17_come,bɨ-,bɨ-,b ɨ,None,Valenzuela2023,10,,,,b ɨ,24,Come
Yam-17_come-1,,Yam,17_come,ɸɨ-,ɸɨ-,ɸ ɨ,None,Valenzuela2023,10,,,,ɸ ɨ,24,Come
Chan-17_come-1,,Chan,17_come,ɸɨ-,ɸɨ-,ɸ ɨ,None,Valenzuela2023,10,,,,ɸ ɨ,24,Come
Shar-17_come-1,,Shar,17_come,ɸɨ-,ɸɨ-,ɸ ɨ,None,Valenzuela2023,10,,,,ɸ ɨ,24,Come
ProPaTa-18_i-1,,ProPaTa,18_i,ʔɨ,ʔɨ,ʔ ɨ,None,Valenzuela2023,28,,,,ʔ ɨ ( - - - ),11,I
ProPa-18_i-1,,ProPa,18_i,ʔɨ,ʔɨ,ʔ ɨ,None,Valenzuela2023,28,,,,ʔ ɨ ( - - - ),11,I
Ksh-18_i-1,,Ksh,18_i,ʔɨ,ʔɨ,ʔ ɨ,None,Valenzuela2023,28,,,,ʔ ɨ ( - - - ),11,I
SK-18_i-1,,SK,18_i,ʔɨ,ʔɨ,ʔ ɨ,None,Valenzuela2023,28,,,,ʔ ɨ ( - - - ),11,I
Kap-18_i-1,,Kap,18_i,ʔɨ,ʔɨ,ʔ ɨ,None,Valenzuela2023,28,,,,ʔ ɨ ( - - - ),11,I
